BrazoDerecho,HombroDerecho,HombroHombroManoDerecha,CaderaHombroDerechoManoIzquierda,BrazoIzquierdo,HombroIzquierdo,HombroHombroManoIzquierda,CaderaHombroIzquierdoManoDerecho,Posicion
170.2686622331279,23.785473185662546,27.127841086294872,34.57749382451577,64.53054941245546,264.72190351793336,334.5466425231394,318.3094154672616,Atras
310.8232455214513,93.5500853328945,309.15440281469836,37.1852276769666,190.49236871645246,338.517553070967,28.603371433557182,322.7217037949556,Atras
177.69390655117732,18.291389180962955,27.54548444735782,17.793288051631876,100.4883099248596,201.57043945466145,320.53074967334777,314.81833278140067,Atras
307.05621727749957,98.99319108202437,324.7547216280968,41.83969912449564,187.22564939468555,337.69379494509235,30.157118414250057,326.37061776933086,Atras
319.67635203097575,135.0921310792761,292.6190955906018,39.69250111723088,196.71174854605022,334.27455159395026,30.38363863909889,325.7062405888913,Atras
314.4518128795138,70.6566629259649,335.6932344936572,44.38973981139718,190.9172162601786,342.0123088113923,32.41418192499298,319.7320118089109,Atras
312.0231953477851,104.31025997393871,319.7763939227687,42.67837231596874,187.0363198300825,334.74540803237153,27.380375139153017,327.70072413877466,Atras
167.88739228815032,25.65412709857304,28.0843968143247,35.899198526787096,46.94157135940035,269.3705576942268,327.0089207674263,317.20564202642555,Atras
312.0231953477851,104.31025997393871,319.7763939227687,42.67837231596874,187.0363198300825,334.74540803237153,27.380375139153017,327.70072413877466,Atras
167.88739228815032,25.65412709857304,28.0843968143247,35.899198526787096,46.94157135940035,269.3705576942268,327.0089207674263,317.20564202642555,Atras
322.47534811361595,168.63578899151327,303.26740428043104,46.357115568548664,177.3484264039333,332.8505830501764,18.283471411164086,334.9002354377112,Atras
319.83699376299916,109.86681114008019,292.13767882338396,42.26895270866465,189.87660117421385,335.53353656644435,28.913227616777917,315.8184554616886,Atras
178.59812412124683,23.001377794524892,25.028843298181638,31.96697285884857,61.84523613110866,257.8587968213491,322.186409101306,326.09200667305885,Atras
172.33608337067338,25.245266690097345,26.376472176023785,28.835779779785586,173.27486363729167,257.15539993488596,358.7454891275609,318.87072385217937,Derecha
183.34376609457257,26.78469643803218,23.705815815306835,30.759726252204736,174.42186897812562,269.0161311746285,4.699963189595849,313.47168628858117,Derecha
174.66701522370658,24.278013618143166,28.450574801937744,31.801172433739733,160.4373271512193,278.1259261247444,3.8991407199486616,318.110851900681,Derecha
174.66701522370658,24.278013618143166,28.450574801937744,31.801172433739733,160.4373271512193,278.1259261247444,3.8991407199486616,318.110851900681,Derecha
216.66382975320857,45.28858889364453,16.632740868123687,31.054607656427862,176.9956013815858,263.0895561644944,1.6695156101740867,308.84043951135556,Derecha
204.3382891305788,75.75455238592362,4.955601336450773,33.18183504795872,170.91506477939137,270.2298691422302,1.2311085858757842,322.6890097257997,Derecha
168.98712890512414,20.266766616085054,34.40616168281547,32.79904646751504,172.22797303327636,272.66582954522573,4.064552785550709,312.8756835794347,Derecha
165.91128468077457,24.602320523320678,27.489045425566882,31.7897433504466,166.06721205171152,278.1109531735622,5.42988033402557,321.8898462585866,Derecha
178.76294534911412,22.94935386237358,21.009434253244777,31.69442078587632,152.61229057115617,244.60026654436905,350.94170258840705,318.5121960878879,Enfrente
179.89219046949097,17.03990641058477,25.120709843015746,27.746145727746153,166.88871511538363,229.91118689767262,348.35295479235816,310.09117146321216,Enfrente
207.50435449987032,130.20852075864667,343.1571047139014,41.99712231038956,170.1660426865203,307.8296484781068,13.272103597212277,334.84176490580234,Enfrente
228.15937327847323,140.96227840538617,317.1469948487921,46.67339683010837,184.1292914494937,339.7129931716487,27.087063927580665,330.0488036012721,Enfrente
274.0950203215798,75.23497204155397,349.6670680000402,41.07276050456435,189.09210707099814,343.9801963275374,28.85902272147108,323.91762568492265,Enfrente
173.71373237200692,20.642972814787854,21.31429472857614,39.64749956803056,99.4326093862947,286.0698958421295,348.8163342469878,320.30498362405336,Enfrente
263.54611678537555,86.15730593742359,342.1921970002027,52.29544361175033,204.33852200655662,334.7036926380527,32.985752798576286,326.43004923623016,Enfrente
175.46413031260022,18.623546749330668,28.273596781342427,31.97723009346552,112.90422002094098,250.742403043924,335.7455520863017,310.19966827109744,Enfrente
177.6503724064285,15.00507282344693,28.845731689092528,41.4294650965658,47.46536952497084,322.8499857632926,340.94128489740837,320.56454390350825,Enfrente
173.4759089531695,16.074363221520105,29.839467006346332,27.795558891901877,158.66607868015353,249.06573763337937,352.2407389366721,313.03642130302063,Enfrente
201.65308893561783,114.16267755123522,352.6404528345053,41.97724941618481,186.1006611654143,341.5768279697414,28.161398309542598,334.8183167882461,Enfrente
200.8599308804653,99.60988769177806,357.5859828409795,45.80797288862672,184.95370455798698,344.95467486156934,25.56541723951248,324.7883203308167,Enfrente
242.43318336569223,105.00092845736538,336.9300101904046,44.61175171019715,180.13707098135467,344.5167201228362,28.586587177157092,327.030139672841,Enfrente
258.6079735372104,88.47172020937212,343.27030565093276,40.56084466638379,182.52112575752068,341.3614004004712,27.922509216944505,326.58514570556787,Enfrente
173.8707007003791,21.82908251668313,24.58055979479458,36.62530999974461,81.8910871499147,282.48077302933126,331.3320118920924,317.87328665769604,Enfrente
269.15156645337913,102.47896256008721,323.48433428834403,39.399983297862406,184.6258176790414,336.06867765127834,24.1035848988589,334.47506680866263,Enfrente
278.65064704241917,66.89965029436998,357.27221933712707,45.76697313962642,189.47129032099022,337.29803156441716,28.69135758947831,312.46679885062514,Enfrente
46.19348942398204,69.09101739170654,23.6862920085745,41.098511416373036,184.75637654209473,339.8212115255795,30.119633861708923,312.89616296261744,Enfrente
171.2356130495186,21.50444024081306,29.923018061671453,39.045749328267135,181.94035321225243,340.84113580771293,30.6720160981569,324.3545084201759,Inicio
176.7791246402459,21.05132585941881,30.158939839654494,40.8237291407461,185.66093095733507,340.6561213908638,31.978306878249825,320.17119813383306,Inicio
159.6210321521418,22.856013505372978,33.83099987768995,42.11822697531237,196.64124045973008,335.704559180817,33.76891074995213,318.84178837943364,Inicio
183.68321611086168,23.35225148397949,27.262847142730536,44.82661097772311,179.73770497305705,338.2299128166754,27.26063697811268,313.5203368040552,Inicio
175.73045647564533,22.69292274414774,28.863577838726094,43.0051163164632,182.98207571801007,340.24623644167735,31.106720640558464,320.77253683095637,Inicio
175.73045647564533,22.69292274414774,28.863577838726094,43.0051163164632,182.98207571801007,340.24623644167735,31.106720640558464,320.77253683095637,Inicio
171.5461961209238,27.565443042277536,28.849819521943854,32.900297551434974,184.4891198078019,334.926628791562,28.2406120427235,326.0596298317563,Inicio
162.38069293016153,20.499080815272368,36.255560703925646,44.090355809396776,192.96378775022498,343.5324258631102,35.29209678064696,313.49043005036833,Inicio
167.70663388960597,23.407931539212736,29.612777324597104,40.602949840027414,187.67705770579542,337.854468268191,29.64852327109875,320.00752051508533,Inicio
171.7123772020739,20.996361433895448,32.548291148809014,36.166221280566326,186.48957634548154,341.03941657062035,32.60037729227101,323.65011727247224,Inicio
174.03924939113438,15.742905635643368,34.988412566265595,46.89929995679885,189.61519212146337,342.5691768650212,33.42234690507438,308.53317902186046,Inicio
182.85419017177404,96.43338800543779,2.130705606317091,43.924515179060705,195.80058390415394,331.105120169334,26.639594652732228,329.229186125001,Izquierda
198.17734611862795,67.23522457238221,10.264257007104684,47.55293678134496,187.58534493605103,343.16264678107945,29.90311948430202,324.0047612086164,Izquierda
193.44868678739857,90.92843601900007,2.2997317752053057,45.607331108018094,179.9312290510473,341.3486843501244,29.621276125937648,330.44518762842733,Izquierda
193.44868678739857,90.92843601900007,2.2997317752053057,45.607331108018094,179.9312290510473,341.3486843501244,29.621276125937648,330.44518762842733,Izquierda
182.9442279128089,95.16271547463373,2.2112938559298714,39.898692380145064,169.20398150912283,277.05655669402626,2.9401277556334473,325.4732264417787,Izquierda
193.79086689736098,80.95092285715808,6.557482627754704,48.419990026588444,189.1117145213329,334.20305958935194,29.102230248179087,327.2669170926792,Izquierda
191.27948747437523,88.46343142155933,4.847507225249531,41.61229003510468,182.0587205905232,338.21217856464426,22.61085049983752,328.74620112341154,Izquierda